                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.98155,                  1.255,                0.64876,                 1.1653,                0.98129,                0.99529,                0.98686,                0.66437,                0.91686,                0.92331,                0.91961,                0.58756,                  1.145,                0.82866,                0.55202,                 1.1796,             0.00051425,             0.00051425,             0.00051425
                     50,                0.98068,                 1.2613,                0.63611,                 1.1642,                0.97203,                0.98741,                0.98384,                0.64275,                0.90153,                0.91262,                0.91174,                0.57201,                  1.166,                0.82951,                 0.5677,                 1.2166,             0.00051376,             0.00051376,             0.00051376
                     51,                0.97807,                 1.2646,                 0.6295,                 1.1699,                0.97793,                0.99381,                0.98816,                0.67592,                0.91209,                0.92067,                0.92016,                 0.6089,                 1.1055,                0.83266,                0.53935,                 1.1768,             0.00051326,             0.00051326,             0.00051326
                     52,                 0.9837,                  1.238,                0.62736,                 1.1617,                0.97224,                0.99787,                0.98719,                0.67626,                0.90964,                0.91928,                0.91904,                0.59781,                  1.124,                0.79977,                0.54203,                 1.1776,             0.00051275,             0.00051275,             0.00051275
                     53,                 1.0048,                 1.2691,                0.64435,                 1.1732,                0.95581,                0.98648,                0.98027,                 0.6668,                0.90685,                0.91939,                0.91833,                0.59507,                 1.1116,                0.83544,                0.55182,                 1.1806,             0.00051223,             0.00051223,             0.00051223
                     54,                0.98502,                 1.2922,                0.64086,                 1.1669,                0.96355,                0.99345,                0.98866,                0.67006,                0.91137,                0.92214,                0.92184,                0.59929,                 1.1089,                0.72567,                0.54063,                 1.1562,              0.0005117,              0.0005117,              0.0005117
                     55,                0.98445,                 1.1648,                0.62673,                   1.16,                0.96747,                0.98696,                  0.989,                0.65835,                0.89891,                0.91044,                 0.9131,                0.56941,                 1.1321,                0.92885,                0.54129,                 1.1927,             0.00051116,             0.00051116,             0.00051116
                     56,                0.97252,                 1.2336,                0.62546,                 1.1523,                 0.9796,                0.99096,                   0.99,                 0.6691,                0.90649,                0.92083,                0.91719,                0.60635,                 1.0958,                0.78617,                0.51152,                  1.145,             0.00051061,             0.00051061,             0.00051061
                     57,                0.95229,                 1.2658,                 0.6108,                 1.1392,                 0.9679,                0.98331,                0.97706,                0.67165,                0.90227,                0.91152,                 0.9077,                0.58279,                 1.0879,                0.87944,                0.51738,                 1.1544,             0.00051005,             0.00051005,             0.00051005
                     58,                0.96415,                 1.2099,                 0.6229,                 1.1576,                0.97727,                0.98515,                0.98504,                0.65302,                0.89914,                0.89751,                 0.9004,                0.56824,                 1.1462,                0.87689,                0.54921,                 1.1959,             0.00050948,             0.00050948,             0.00050948
                     59,                0.96755,                 1.2337,                0.63267,                 1.1477,                0.96267,                 0.9952,                0.98425,                0.67157,                0.90324,                0.91775,                0.91482,                0.60069,                 1.0849,                0.86852,                0.53322,                 1.1525,              0.0005089,              0.0005089,              0.0005089
                     60,                0.95294,                  1.212,                0.60497,                 1.1483,                0.97092,                0.99509,                 0.9859,                 0.6705,                0.91323,                0.92273,                0.91539,                0.60557,                 1.0837,                0.78837,                0.53337,                 1.1391,             0.00050831,             0.00050831,             0.00050831
                     61,                0.99759,                 1.2265,                0.63249,                 1.1655,                0.96673,                0.99733,                0.98466,                0.65879,                0.91296,                0.93067,                0.92481,                0.60272,                 1.1187,                0.73131,                0.53851,                 1.1666,             0.00050772,             0.00050772,             0.00050772
                     62,                0.95466,                 1.1833,                0.63382,                 1.1499,                 0.9609,                  0.992,                0.97768,                0.66391,                 0.8979,                0.92267,                0.91315,                 0.5882,                 1.0706,                0.81737,                0.52249,                 1.1963,             0.00050711,             0.00050711,             0.00050711
                     63,                0.96605,                 1.2213,                0.61419,                 1.1562,                0.97579,                0.98843,                0.98557,                0.66645,                0.91835,                0.91854,                0.92416,                0.61086,                 1.0905,                0.74018,                0.51977,                 1.1709,             0.00050649,             0.00050649,             0.00050649
                     64,                0.96439,                 1.2114,                0.60141,                  1.135,                0.97358,                0.98621,                0.98428,                0.67443,                0.90666,                0.92161,                0.91716,                0.60562,                 1.0919,                0.78381,                0.52274,                 1.1543,             0.00050587,             0.00050587,             0.00050587
                     65,                0.94095,                 1.1762,                0.60488,                 1.1326,                0.97611,                0.99329,                0.98416,                 0.6895,                0.91782,                0.92969,                0.92452,                0.60175,                 1.0512,                0.77553,                0.51102,                  1.121,             0.00050523,             0.00050523,             0.00050523
                     66,                0.93291,                  1.177,                0.58618,                 1.1285,                0.97516,                0.99516,                0.98772,                0.67003,                0.92194,                0.93333,                0.92723,                0.61209,                 1.1172,                0.74435,                0.52108,                 1.1495,             0.00050459,             0.00050459,             0.00050459
                     67,                0.92789,                 1.1591,                0.57463,                 1.1265,                0.97787,                0.99285,                0.98835,                0.67639,                0.90601,                0.91574,                 0.9117,                0.58746,                 1.0843,                0.84075,                0.49587,                 1.1461,             0.00050393,             0.00050393,             0.00050393
                     68,                0.90302,                 1.1733,                0.57651,                 1.1174,                0.97857,                0.99148,                0.98711,                0.67823,                0.90805,                0.91491,                0.91059,                0.60385,                 1.0624,                0.86393,                0.48997,                 1.1286,             0.00050327,             0.00050327,             0.00050327
                     69,                0.89713,                 1.1243,                0.57383,                 1.1089,                0.97351,                0.99642,                0.98458,                0.67435,                0.89629,                0.91118,                0.90472,                0.59636,                 1.0421,                0.89775,                0.50144,                 1.1317,             0.00050259,             0.00050259,             0.00050259
                     70,                0.91151,                 1.1904,                0.59571,                 1.1206,                0.97309,                0.98908,                0.98432,                0.66375,                0.90428,                0.91212,                 0.9122,                0.60418,                 1.1121,                0.75532,                0.51113,                 1.1552,             0.00050191,             0.00050191,             0.00050191
                     71,                0.89622,                 1.1917,                0.57974,                 1.1076,                0.97793,                0.99603,                0.98763,                0.67981,                0.90888,                0.91747,                0.91422,                0.60426,                 1.0664,                0.79917,                 0.5034,                 1.1487,             0.00050122,             0.00050122,             0.00050122
                     72,                0.90781,                 1.1476,                 0.5733,                 1.1217,                0.97081,                0.98848,                0.98105,                0.67952,                0.91046,                0.92237,                0.92062,                0.61822,                 1.0482,                0.74112,                0.49371,                 1.1218,             0.00050052,             0.00050052,             0.00050052
                     73,                0.88872,                  1.139,                0.56636,                  1.109,                0.96987,                 0.9924,                0.98396,                0.66964,                0.91164,                0.92132,                 0.9207,                0.62562,                 1.0842,                0.71727,                0.49997,                 1.1231,             0.00049981,             0.00049981,             0.00049981
                     74,                0.92383,                 1.1184,                 0.5799,                 1.1241,                0.96745,                0.98878,                0.98456,                 0.6795,                0.89792,                0.91017,                0.91302,                0.60761,                 1.0776,                 0.8239,                 0.5095,                 1.1395,             0.00049909,             0.00049909,             0.00049909
                     75,                0.93285,                 1.1858,                0.58238,                 1.1274,                0.97322,                0.98789,                0.98636,                0.68683,                0.90668,                 0.9112,                0.91519,                0.61018,                 1.0969,                0.79176,                0.51264,                 1.1317,             0.00049836,             0.00049836,             0.00049836
                     76,                0.90202,                 1.1693,                0.57608,                 1.1118,                0.96396,                0.99467,                0.98319,                0.68415,                0.91026,                0.91202,                0.90973,                0.60379,                 1.0887,                0.83492,                0.51223,                 1.1474,             0.00049762,             0.00049762,             0.00049762
                     77,                0.89828,                 1.1905,                0.58046,                 1.1156,                0.97275,                0.99059,                0.98674,                 0.6703,                0.91508,                0.92514,                0.92033,                 0.6123,                 1.0718,                0.87008,                0.50798,                 1.1284,             0.00049687,             0.00049687,             0.00049687
